ID,Parameter,Units,Description,Distribution,Reference
42,Infactivity,"string[""resting-breathing"",""resting-speaking"",""resting-speakingloudly"",""standing-breathing"",""standing-speaking"",""standing-speakingloudly"",""lightexercise-breathing"",""lightexercise-speaking"",""lightexercise-speakingloudly"", ""heavyexercise-breathing"",""heavyexercise-speaking"",""heavyexercise-speakingloudly"", ""singing""]",Main behaviour of the infected person ,-,"Buonnano et al. (2020a, b) "
43,Infnonsilenttime,"[0,1]",Proportion of time non-silent,-,Assumed
44,Infsalivastudy,"String [""Chen"", ""Iwasaki""]",Name of study that the SARS-CoV-2 concentration in saliva is derived from,-,-
45,InfsalivaChenshape,Log10 gene copies/ml,Shape parameter for SARS-CoV-2 concentration in saliva,Weibull,"(Chen et al., 2020)"
46,InfsalivaChenscale,Log10 gene copies/ml,Scale parameter for SARS-CoV-2 concentration in saliva,Weibull,"(Chen et al., 2020)"
47,InfsalivaIwasakimin,Log10 gene copies/ml,Lower limit of SARS-CoV-2 concentration in saliva,Uniform,"(Iwasaki et al., 2020)"
48,InfsalivaIwasakimax,Log10 gene copies/ml,Upper limit of SARS-CoV-2 concentration in saliva,Uniform,"(Iwasaki et al., 2020)"
49,InfEairTalkSmean,min-1,Virus emitted gene copies per minute with breathing/talking,Log Normal ,"(Leung et al., 2020, Zhou et al., 2021, Ma et al., 2020)"
50,InfEairTalkSsd,min-1,Virus emitted gene copies per minute with breathing/talking,Log Normal ,"(Leung et al., 2020, Zhou et al., 2021, Ma et al., 2020)"
51,Sufinger,cm2,Surface area of fingertips,-,Assumed
52,Suface,cm2,Area of nose and mouth,-,Assumed
53,Sueye,cm2,Area of eyes,-,Assumed
54,SuFFtimemin,Percentage ,Percentage of time that the susceptible spent in the far field (minimum in 10% steps),-,CSO study
55,SuFFtimemax,Percentage ,Percentage of time that the susceptible spent in the far field (maximum in 10% steps),-,CSO study
56,SuTmaxa,Mins,Lower limit of time spent in the room,Triangle,"(Phan et al., 2019)"
57,SuTmaxb,Mins,Upper limit of time spent in the room,Triangle,"(Phan et al., 2019)"
58,SuTmaxc,Mins,Mode of time spent in the room,Triangle,"(Phan et al., 2019)"
59,INACTIVaira,h-1,Lower limit of virus inactivation rate in air,Triangle,van Doremalen et al. (2020)
60,INACTIVairb,h-1,Upper limit of virus inactivation rate in air,Triangle,van Doremalen et al. (2020)
61,INACTIVairc,h-1,Mode of virus inactivation rate in air,Triangle,van Doremalen et al. (2020)
62,INACTIVsurfacea,h-1,Lower limit of virus inactivation rate on surfaces ,Triangle,van Doremalen et al. (2020)
63,INACTIVsurfaceb,h-1,Upper limit of virus inactivation rate on surfaces ,Triangle,van Doremalen et al. (2020)
64,INACTIVsurfacec,h-1,Mode of virus inactivation on surfaces ,Triangle,van Doremalen et al. (2020)
65,INACTIVskinmean,h-1,Mean of virus inactivation on skin (for influenza),Normal,"(Jones and Xia, 2018)"
66,INACTIVskinsd,h-1,Standard deviation of virus inactivation on skin (for influenza),Normal,"(Jones and Xia, 2018)"
67,TRANSsurface.skinshape,"[0,1]",Shape parameter for virus transfer efficiency upon contact ,Wiebull,Julian et al. (2010)
68,TRANSsurface.skinscale,"[0,1]",Scale parameter for virus transfer efficiency upon contact ,Wiebull,Julian et al. (2010)
69,TRANSskin.abs,"[0,1]",Asbolute parameter for virus transfer efficiency from skin to skin,-,PROTECT
70,CONTACTsurfaceNF.handa,h-1,Lower limit for contact rate with surfaces in near field ,Triangle,CSO study
71,CONTACTsurfaceNF.handb,h-1,Upper limit for contact rate with surfaces in near field ,Triangle,CSO study
72,CONTACTsurfaceNF.handc,h-1,Mode for contact rate with surfaces in near field ,Triangle,CSO study
73,CONTACTsurfaceFF.handa,h-1,Lower limit for contact rate with surfaces in far field ,Triangle,CSO study
74,CONTACTsurfaceFF.handb,h-1,Upper limit for contact rate with surfaces in far field ,Triangle,CSO study
75,CONTACTsurfaceFF.handc,h-1,Mode for contact rate with surfaces in far field ,Triangle,CSO study
76,CONTACTface.handsize,Number,Size parameter for number of contacts with face/mask ,Negative Binomial,"(Phan et al., 2019)"
77,CONTACTface.handmu,Number,Mu parameter for number of contacts with face/mask,Negative Binomial,"(Phan et al., 2019)"
78,SuTARGETmin,"[0,1]",Lower limit of proportion of particles that deposit on the facial mucous membranes which reach receptors in the respiratory tract ,Uniform,"(Jones, 2020)"
79,SuTARGETmax,"[0,1]",Upper limit of proportion of particles that deposit on the facial mucous membranes which reach receptors in the respiratory tract ,Uniform,"(Jones, 2020)"
80,SuCeyeprob,"[0,1]","Probability that virus reaches the susceptible person's eyes via droplet spray, based on control measure",-,"(Jones, 2020)"
81,SuCSPRAYprobmin,"[0,1]","Lower limit of probability that virus reaches the susceptible person's face via droplet spray, based on control measure",Triangle,"(Jones, 2020) and assumed"
82,SuCSPRAYprobmax,"[0,1]","Upper limit of probability that virus reaches the susceptible person's face via droplet spray, based on control measure",Triangle,"(Jones, 2020) and assumed"
83,SuCSPRAYprobmode,"[0,1]","Mode of probability that virus reaches the susceptible person's face via droplet spray, based on control measure",Triangle,"(Jones, 2020) and assumed"
84,SuCinhaleprobmin,"[0,1]","Lower limit of probability that virus reaches the susceptible person's lungs via inhalation, based on control measure",Triangle,"(Janssen, 2008; Gao et al., 2016; Cherrie et al., 2018; Steinle et a., 2018)"
85,SuCinhaleprobmax,"[0,1]","Upper limit of probability that virus reaches the susceptible person's lungs via inhalation, based on control measure",Triangle,"(Janssen, 2008; Gao et al., 2016; Cherrie et al., 2018; Steinle et a., 2018)"
86,SuCinhaleprobmode,"[0,1]","Mode of probability that virus reaches the susceptible person's lungs via inhalation, based on control measure",Triangle,"(Janssen, 2008; Gao et al., 2016; Cherrie et al., 2018; Steinle et a., 2018)"
87,SuChandtouchmin,"[0,1]","Lower limit of change in frequency of contact between hands and facial mucous membranes of worker, based on control measure",Triangle,"(Janssen, 2008; Gao et al., 2016; Cherrie et al., 2018; Steinle et a., 2018)"
88,SuChandtouchmax,"[0,1]","Upper limit of change in frequency of contact between hands and facial mucous membranes of worker, based on control measure",Triangle,"(Janssen, 2008; Gao et al., 2016; Cherrie et al., 2018; Steinle et a., 2018)"
89,SuChandtouchmode,"[0,1]","Mode of change in frequency of contact between hands and facial mucous membranes of worker, based on control measure",Triangle,"(Janssen, 2008; Gao et al., 2016; Cherrie et al., 2018; Steinle et a., 2018)"
90,SuCfomiteprobmin,"[0,1]","Lower limit of probability that virus reaches the susceptible person's face via contact with surfaces, based on control measure",Triangle,"(Kurgat et al., 2019)"
91,SuCfomiteprobmax,"[0,1]","Upper limit of probability that virus reaches the susceptible person's face via contact with surfaces, based on control measure",Triangle,"(Kurgat et al., 2019)"
92,SuCfomiteprobmode,"[0,1]","Mode of probability that virus reaches the susceptible person's face via contact with surfaces, based on control measure",Triangle,"(Kurgat et al., 2019)"
93,SuSPRAYprob,"[0,1]",Probability that the susceptible person intercepts a droplet spray event,-,"(Jones et al., 2020)"
94,Su,Number,Number of susceptible people,-,-
